word1;word2;n
nice;wines;  2
no;access;  2
no;advance;  2
no;alcoholic;  2
no;artificial;  2
no;attention;  2
no;avail;  2
no;bones;  2
no;brainer;  2
no;chairs;  2
no;character;  2
no;comparable;  2
no;complain;  2
no;complains;  2
no;consideration;  2
no;difficulty;  2
no;dimsum;  2
no;direct;  2
no;disappointment;  2
no;dish;  2
no;drink;  2
no;drinks;  2
no;evidence;  2
no;exceptions;  2
no;excuse;  2
no;excuses;  2
no;expectations;  2
no;fat;  2
no;feeling;  2
no;filling;  2
no;fine;  2
no;follow;  2
no;glass;  2
no;guarantee;  2
no;hassle;  2
no;hidden;  2
no;ideas;  2
no;indication;  2
no;knowledge;  2
no;liquor;  2
no;match;  2
no;mistake;  2
no;music;  2
no;napkin;  2
no;noodle;  2
no;oil;  2
no;ordinary;  2
no;paper;  2
no;personality;  2
no;pleasantries;  2
no;prior;  2
no;punch;  2
no;push;  2
no;satisfaction;  2
no;seasoning;  2
no;serviettes;  2
no;sharks;  2
no;shortage;  2
no;signage;  2
no;smoking;  2
no;soft;  2
no;spice;  2
no;stand;  2
no;tax;  2
no;taxis;  2
no;tea;  2
no;toilet;  2
no;trolley;  2
no;vegetarian;  2
no;white;  2
no;word;  2
no;xo;  2
noisy;canteen;  2
noisy;kids;  2
noisy;local;  2
nonsense;restaurant;  2
novel;chinese;  2
obscene;amount;  2
odd;hours;  2
outstanding;environment;  2
outstanding;evening;  2
outstanding;friendly;  2
outstanding;loved;  2
outstanding;pork;  2
outstanding;presentation;  2
outstanding;served;  2
outstanding;taste;  2
outstanding;worth;  2
pay;2;  2
pay;3;  2
pay;cash;  2
pay;half;  2
pay;hk;  2
pay;premium;  2
pay;tops;  2
peaceful;atmosphere;  2
perfect;10;  2
perfect;accompaniments;  2
perfect;attentive;  2
perfect;bernard;  2
perfect;cantonese;  2
perfect;choices;  2
perfect;dessert;  2
perfect;dinner;  2
perfect;environment;  2
perfect;excellent;  2
perfect;level;  2
perfect;lunch;  2
perfect;mix;  2
perfect;night;  2
perfect;score;  2
perfect;set;  2
perfect;siu;  2
perfect;taste;  2
perfect;timing;  2
perfect;venue;  2
perfect;wine;  2
perfect;yuki;  2
perfectly;braised;  2
perfectly;crisped;  2
perfectly;friendly;  2
perfectly;honest;  2
perfectly;lit;  2
perfectly;matches;  2
perfectly;roasted;  2
perfectly;served;  2
perfectly;service;  2
pleasant;dinning;  2
pleasant;evening;  2
pleasant;quiet;  2
pleasant;restaurant;  2
pleasant;surrounding;  2
pleasant;time;  2
please;book;  2
please;leave;  2
please;request;  2
poor;customer;  2
poor;lighting;  2
poor;reviews;  2
poor;selection;  2
poor;staff;  2
popular;dish;  2
popular;food;  2
popular;item;  2
popular;menu;  2
popular;street;  2
popular;tourist;  2
positive;comments;  2
positive;surprise;  2
positively;surprised;  2
prepared;1;  2
prepared;ahead;  2
prepared;cheap;  2
prepared;served;  2
pretty;affordable;  2
pretty;attentive;  2
pretty;awful;  2
pretty;boring;  2
pretty;clean;  2
pretty;decently;  2
pretty;delicate;  2
pretty;entertaining;  2
pretty;extensive;  2
pretty;famous;  2
pretty;fresh;  2
pretty;packed;  2
pretty;pricey;  2
pretty;simple;  2
pretty;solid;  2
pretty;spectacular;  2
pretty;steep;  2
pretty;straight;  2
proudly;display;  2
rainy;afternoon;  2
rainy;morning;  2
rainy;saturday;  2
recommend;1;  2
recommend;3;  2
recommend;bbq;  2
recommend;crispy;  2
recommend;dinner;  2
recommend;enjoy;  2
recommend;pork;  2
recommend;reserving;  2
recommend;shrimp;  2
recommend;sticky;  2
recommend;strongly;  2
recommend;tim;  2
recommend;xiaolongbao;  2
recommended;bbq;  2
recommended;chinese;  2
recommended;half;  2
recommended;located;  2
recommended;lots;  2
recommended;monogamous;  2
recommended;pan;  2
recommended;peking;  2
recommended;price;  2
recommended;prices;  2
recommended;service;  2
recommended;steamed;  2
regret;visiting;  2
relaxed;casual;  2
relaxed;dining;  2
relaxed;dinner;  2
relaxed;environment;  2
relaxed;restaurant;  2
rewards;club;  2
rich;people;  2
rich;sauce;  2
ridiculous;prices;  2
sadly;mistaken;  2
safe;chinese;  2
safe;food;  2
safe;quality;  2
satisfied;customer;  2
save;money;  2
save;space;  2
saved;time;  2
share;delicious;  2
share;dishes;  2
shared;4;  2
shared;6;  2
shared;fried;  2
shared;half;  2
shared;steamed;  2
shoot;dumplings;  2
significant;queue;  2
silly;prices;  2
sincere;service;  2
slick;service;  2
slick;slick;  2
smart;move;  2
solid;choice;  2
sophisticated;cantonese;  2
sophisticated;chinese;  2
sophisticated;dim;  2
sophisticated;dining;  2
sophisticated;feel;  2
sophisticated;setting;  2
sore;throat;  2
sparkling;clean;  2
splendid;decor;  2
splendid;views;  2
stopped;coming;  2
strange;aftertaste;  2
strange;taste;  2
strong;alkaline;  2
strong;flavor;  2
strong;flavors;  2
strong;reaction;  2
strong;taste;  2
strong;tourist;  2
stunning;chinese;  2
stunning;location;  2
stunning;sunset;  2
substantial;meal;  2
super;accommodating;  2
super;authentic;  2
super;casual;  2
super;close;  2
super;dry;  2
super;easy;  2
super;elegant;  2
super;evening;  2
super;excellent;  2
super;fine;  2
super;greasy;  2
super;grumpy;  2
super;picky;  2
super;view;  2
super;views;  2
super;warm;  2
superb;authentic;  2
superb;eric;  2
superb;experience;  2
superb;lunch;  2
superb;night;  2
superb;prices;  2
superb;truffle;  2
superior;australian;  2
superior;bird's;  2
superior;dumpling;  2
superior;soy;  2
superior;stock;  2
sweet;almond;  2
sweet;barbecue;  2
sweet;bean;  2
sweet;bun;  2
sweet;chicken;  2
sweet;crispy;  2
sweet;dim;  2
sweet;dishes;  2
sweet;fried;  2
sweet;mango;  2
sweet;plum;  2
sweet;red;  2
sweet;sticky;  2
sweet;taro;  2
sweet;taste;  2
sweet;vinegar;  2
swift;attentive;  2
swift;friendly;  2
tender;beef;  2
tender;peking;  2
tender;roasted;  2
tender;tasty;  2
tender;wagyu;  2
terrible;table;  2
terribly;bland;  2
terribly;expensive;  2
terribly;impressed;  2
terrific;hot;  2
terrific;lunch;  2
terrific;peking;  2
terrific;view;  2
thank;manager;  2
thanks;andy;  2
thanks;billie;  2
thanks;ms;  2
thanks;tim;  2
thanks;tin;  2
thanks;victor;  2
thoughtful;service;  2
top;cantonese;  2
top;decor;  2
top;flight;  2
top;makes;  2
top;sea;  2
top;terrace;  2
top;wine;  2
true;cantonese;  2
true;dining;  2
true;highlight;  2
true;michelin;  2
true;star;  2
true;taste;  2
unbelievable;dim;  2
unbelievable;experience;  2
unbelievable;views;  2
vibrant;atmosphere;  2
want;amazing;  2
want;authentic;  2
want;cheaper;  2
want;delicious;  2
want;elegant;  2
want;excellent;  2
want;fancy;  2
want;fine;  2
want;food;  2
want;peking;  2
want;safe;  2
want;tea;  2
want;water;  2
want;wine;  2
warm;atmosphere;  2
warm;red;  2
warm;services;  2
warm;staff;  2
warm;tea;  2
warm;towels;  2
warm;welcoming;  2
warm;wood;  2
weak;spot;  2
welcome;food;  2
winner;service;  2
winning;combination;  2
winning;restaurants;  2
wonderful;afternoon;  2
wonderful;ambiance;  2
wonderful;art;  2
wonderful;asian;  2
wonderful;decor;  2
wonderful;exquisite;  2
wonderful;family;  2
wonderful;flavors;  2
wonderful;glass;  2
wonderful;green;  2
wonderful;journey;  2
wonderful;noodles;  2
wonderful;peking;  2
wonderful;pork;  2
wonderful;seafood;  2
wonderful;server;  2
wonderful;smile;  2
wonderful;spicy;  2
wonderful;steamed;  2
wonderful;table;  2
wonderful;traditional;  2
wonderful;venue;  2
woo;bar;  2
woo;hoo;  2
worst;chinese;  2
worst;peking;  2
worst;restaurant;  2
worth;experiencing;  2
worth;exploring;  2
worth;fighting;  2
worth;giving;  2
worth;taking;  2
worth;visit;  2
worthy;dish;  2
wow;absolutely;  2
wow;amazing;  2
wow;ed;  2
wrong;eating;  2
wrong;info;  2
wrong;mains;  2
wrong;reasons;  2
wrong;restaurant;  2
wrong;table;  2
wrong;wrong;  2
yes;absolutely;  2
yes;din;  2
yes;food;  2
yummy;dessert;  2
yummy;dinner;  2
yummy;egg;  2
yummy;kaye;  2
yummy;pork;  2
yummy;taste;  2
yummy;xiao;  2
absentees;4;  1
abuse;eventually;  1
accept;1,000;  1
accept;booking;  1
accept;bookings;  1
accept;cards;  1
accept;children;  1
accept;chinese;  1
accept;customers;  1
accept;families;  1
accept;foreign;  1
accept;hk;  1
accept;prc;  1
accept;takeaway;  1
accept;visa;  1
accept;walk;  1
accepted;cash;  1
accepted;lunch;  1
accepted;nzd;  1
accepted;payment;  1
accepted;suggest;  1
accepts;cash;  1
accepts;sole;  1
accident;tucked;  1
accidental;circumstances;  1
accidentally;bcs;  1
accidentally;dripped;  1
accidentally;hitting;  1
accidentally;knocked;  1
accidentally;passed;  1
accidentally;swallowed;  1
accomplished;lung;  1
adequate;choice;  1
adequate;information;  1
adequate;menu;  1
adequate;remember;  1
adequate;taste;  1
adequate;variety;  1
admire;chef;  1
admire;whilst;  1
admit;thst;  1
admitted;straight;  1
adorable;piggy;  1
adorable;porcupine;  1
adored;remember;  1
advanced;noticed;  1
advanced;palette;  1
adventurous;choice;  1
adventurous;day;  1
adventurous;dining;  1
adventurous;dishes;  1
adventurous;foodies;  1
adventurous;lots;  1
adventurous;menu;  1
adventurous;options;  1
adventurous;statement;  1
adventurous;traditional;  1
adventurous;visitor;  1
affected;restaurants;  1
afraid;amazing;  1
aggressive;flavours;  1
agree;100;  1
agree;food;  1
agree;it’s;  1
agree;located;  1
agree;wih;  1
agreeable;atmosphere;  1
agreed;approximately;  1
agreed;drinks;  1
alert;service;  1
alive;choices;  1
allow;100;  1
allow;add;  1
allow;byo;  1
allow;cars;  1
allow;females;  1
allow;guest;  1
allow;half;  1
allow;kids;  1
allow;people;  1
allow;phones;  1
allow;plenty;  1
allow;privacy;  1
alone;10;  1
alone;couples;  1
alone;danny;  1
alone;dish;  1
alone;hk;  1
alone;hutong;  1
alone;lots;  1
alone;meal;  1
alone;pay;  1
alone;prices;  1
alone;restaurant;  1
alone;restaurants;  1
alone;server;  1
alone;speaking;  1
alone;worth;  1
amaze;patrons;  1
amazed;ingredients;  1
amazed;it’s;  1
amazed;stunning;  1
amazing;10;  1
amazing;11;  1
amazing;3;  1
amazing;360;  1
amazing;advance;  1
amazing;adventure;  1
amazing;advices;  1
amazing;ambient;  1
amazing;amuse;  1
amazing;architecture;  1
amazing;artistry;  1
amazing;asian;  1
amazing;atmosphere.not;  1
amazing;balanced;  1
amazing;balcony;  1
amazing;bamboo;  1
amazing;banquet;  1
amazing;bao;  1
amazing;bbq;  1
amazing;bill;  1
amazing;black;  1
amazing;book;  1
amazing;braised;  1
amazing;brilliant;  1
amazing;broth;  1
amazing;brunch;  1
amazing;buffet;  1
amazing;care;  1
amazing;char;  1
amazing;check;  1
amazing;chef;  1
amazing;chicken;  1
amazing;chines;  1
amazing;choose;  1
amazing;clarity;  1
amazing;collections;  1
amazing;combination;  1
amazing;coming;  1
amazing;compared;  1
amazing;contrary;  1
amazing;corn;  1
amazing;cost;  1
amazing;crab;  1
amazing;creation;  1
amazing;crisps;  1
amazing;crystal;  1
amazing;day;  1
amazing;decently;  1
amazing;décor;  1
amazing;decoration;  1
amazing;def;  1
amazing;definitly;  1
amazing;deserts;  1
amazing;design;  1
amazing;desserts;  1
amazing;diner;  1
amazing;disintegrated;  1
amazing;display;  1
amazing;drunken;  1
amazing;dtf;  1
amazing;dumpling;  1
amazing;easy;  1
amazing;eclectic;  1
amazing;efficient;  1
amazing;english;  1
amazing;enjoyed;  1
amazing;everthing;  1
amazing;excellent;  1
amazing;exceptional;  1
amazing;expect;  1
amazing;fantastic;  1
amazing;fast;  1
amazing;faultless;  1
amazing;fish;  1
amazing;floral;  1
amazing;foood;  1
amazing;francis;  1
amazing;fresh;  1
amazing;friendly;  1
amazing;fungus;  1
amazing;gastronomic;  1
amazing;ginger;  1
amazing;goose;  1
amazing;ha;  1
amazing;halal;  1
amazing;helpful;  1
amazing;historical;  1
amazing;honey;  1
amazing;honeymoon;  1
amazing;hospitality;  1
amazing;huge;  1
amazing;hutong;  1
amazing;iberico;  1
amazing;icon;  1
amazing;improvement;  1
amazing;include;  1
amazing;included;  1
amazing;incredible;  1
amazing;inexpensive;  1
amazing;innovative;  1
amazing;interior;  1
amazing;invention;  1
amazing;isnt;  1
amazing;items;  1
amazing;level;  1
amazing;life;  1
amazing;live;  1
amazing;love;  1
amazing;meals;  1
amazing;michelin;  1
amazing;mouthful;  1
amazing;mushroom;  1
amazing;needless;  1
amazing;noodles;  1
amazing;odd;  1
amazing;okra;  1
amazing;options;  1
amazing;outing;  1
amazing;overlooking;  1
amazing;peninsula;  1
amazing;people;  1
amazing;perfect;  1
amazing;perfectly;  1
amazing;personalities;  1
amazing;place.very;  1
amazing;presentation;  1
amazing;pretty;  1
amazing;previous;  1
amazing;price;  1
amazing;range;  1
amazing;recommendation;  1
amazing;recommended;  1
amazing;run;  1
amazing;set;  1
amazing;sichuan;  1
amazing;signature;  1
amazing;simple;  1
amazing;simply;  1
amazing;situated;  1
amazing;skin;  1
amazing;sky;  1
amazing;solid;  1
amazing;space;  1
amazing;special;  1
amazing;specifically;  1
amazing;spicy;  1
amazing;spring;  1
amazing;starters;  1
amazing;steamed;  1
amazing;stops;  1
amazing;stuff;  1
amazing;stuffed;  1
amazing;stunning;  1
amazing;stylish;  1
amazing;sublime;  1
amazing;subtle;  1
amazing;suggestions;  1
amazing;super;  1
amazing;surprise;  1
amazing;technique;  1
amazing;techniques;  1
amazing;tips:have;  1
amazing;today’s;  1
amazing;tonight;  1
amazing;top;  1
amazing;transformation;  1
amazing;turnip;  1
amazing;type;  1
amazing;unpretentious;  1
amazing;victoria;  1
amazing;vietnamese;  1
amazing;visit;  1
amazing;vistas;  1
amazing;voyage;  1
amazing;wines;  1
amazing;winner;  1
amazing;wonderful;  1
amazing;yum;  1
ambitious;tourism;  1
amuse;bouchée;  1
amuse;bouches;  1
amuse;geules;  1
amusement;delight;  1
amusement;park;  1
anger;rising;  1
angry;staring;  1
annoying;allergy;  1
annoying;gesture;  1
annoying;line;  1
annoying;music;  1
annoying;tables;  1
anti;climactic;  1
anti;service;  1
anticipation;based;  1
anxiety;provoking;  1
apology;letter;  1
apology;serving;  1
apology;waited;  1
appalling;food;  1
appalling;totally;  1
appreciate;chinese;  1
appreciate;danny;  1
appreciate;excellent;  1
appreciate;fine;  1
appreciate;gold;  1
appreciate;haute;  1
appreciate;hot;  1
appreciate;johnny’s;  1
appreciate;management;  1
appreciate;shang;  1
appreciate;sophisticated;  1
appreciated;din;  1
appreciated;hot;  1
appreciated;price;  1
appreciated;special;  1
appreciated;touch;  1
appreciating;6;  1
apprehensive;taking;  1
approved;pleasant;  1
arrested;straight;  1
arrogant;attitude;  1
arrogant;duck;  1
astounding;amount;  1
astounding;andy;  1
astounding;variety;  1
attacked;straight;  1
attract;customers;  1
attract;michelin;  1
attract;selected;  1
attract;upper;  1
attracting;customers;  1
attracting;tourists;  1
attraction;service;  1
attractions;light;  1
attractions;luxury;  1
attractions;nearby;  1
attracts;tourists;  1
avoid;bird's;  1
avoid;burning;  1
avoid;busiest;  1
avoid;busy;  1
avoid;buying;  1
avoid;crowds;  1
avoid;disrupting;  1
avoid;dissapontment;  1
avoid;dynasty;  1
avoid;entire;  1
avoid;eye;  1
avoid;feeling;  1
avoid;food;  1
avoid;lunchtime;  1
avoid;main;  1
avoid;marriot;  1
avoid;mott;  1
avoid;network;  1
avoid;ques;  1
avoid;queuing;  1
avoid;quue;  1
avoid;splashing;  1
avoid;sunday;  1
avoid;toilets;  1
avoid;weekend;  1
avoid;weekends;  1
avoid;wine;  1
avoid;wines;  1
avoided;imperial;  1
avoided;tim;  1
avoids;chinese;  1
awaited;revisit;  1
awaits;till;  1
award;3;  1
award;chain;  1
award;jade;  1
award;yearly;  1
awarded;1;  1
awarded;2;  1
awarded;bib;  1
awarded;cantonese;  1
awarded;chef;  1
awarded;dim;  1
awarded;dinner;  1
awarded;dishes;  1
awarded;silvercord;  1
awards;check;  1
awards;coming;  1
awards;expand;  1
awards;leave;  1
awards;means;  1
awesome;102nd;  1
awesome;5;  1
awesome;amarone;  1
awesome;atmosphere;  1
awesome;attentive;  1
awesome;bamboo;  1
awesome;coke;  1
awesome;coming;  1
awesome;crab;  1
awesome;crystal;  1
awesome;culinary;  1
awesome;deep;  1
awesome;delicious;  1
awesome;dimsums;  1
awesome;dinner;  1
awesome;dishes;  1
awesome;dumpling;  1
awesome;fish;  1
awesome;flavours;  1
awesome;foodie;  1
awesome;foods;  1
awesome;freshly;  1
awesome;fried;  1
awesome;gastronomical;  1
awesome;generous;  1
awesome;hands;  1
awesome;highly;  1
awesome;hong;  1
awesome;inventive;  1
awesome;location;  1
awesome;love;  1
awesome;low;  1
awesome;mainland;  1
awesome;marvelous;  1
awesome;night;  1
awesome;nonetheless;  1
awesome;osum;  1
awesome;outdoor;  1
awesome;post;  1
awesome;quality;  1
awesome;resto;  1
awesome;reviews;  1
awesome;rice;  1
awesome;roasted;  1
awesome;rooftop;  1
awesome;sauce;  1
awesome;selection;  1
awesome;set;  1
awesome;spicy;  1
awesome;spot;  1
awesome;standouts;  1
awesome;starter;  1
awesome;stuffed;  1
awesome;table;  1
awesome;taste;  1
awesome;time;  1
awesome;unlike;  1
awesome;variety;  1
awesome;venue;  1
awesome;vibe;  1
awesome;wall;  1
awful;100;  1
awful;additionally;  1
awful;attitude;  1
awful;bland;  1
awful;canteen;  1
awful;completely;  1
awful;decor;  1
awful;depressed;  1
awful;dim;  1
awful;finished;  1
awful;head;  1
awful;hot;  1
awful;ozone;  1
awful;scale;  1
awful;staff;  1
awkward;15;  1
awkward;coz;  1
awkward;experience;  1
awkward;item;  1
awkward;moment;  1
awkward;selecting;  1
awkward;silence;  1
awkward;situation;  1
awkward;street;  1
awkward;wooden;  1
backed;bbq;  1
backed;bolo;  1
backed;chairs;  1
backing;band;  1
bad;1;  1
bad;8;  1
bad;bad;  1
bad;behavior;  1
bad;bit;  1
bad;bite;  1
bad;body;  1
bad;chicken;  1
bad;cuisine;  1
bad;days;  1
bad;dishes;  1
bad;disorganized;  1
bad;entrees;  1
bad;facial;  1
bad;feeling;  1
bad;fish;  1
bad;fried;  1
bad;greasy;  1
bad;guess;  1
bad;hk;  1
bad;impression;  1
bad;kids;  1
bad;ladies;  1
bad;left;  1
bad;location;  1
bad;manner;  1
bad;meal.the;  1
bad;menu;  1
bad;misses;  1
bad;option;  1
bad;parent;  1
bad;paying;  1
bad;poached;  1
bad;quality;  1
bad;rep;  1
bad;review;  1
bad;ridiculously;  1
bad;score;  1
bad;seating;  1
bad;service.from;  1
bad;sign;  1
bad;soo;  1
bad;specifically;  1
bad;spicy;  1
bad;staff;  1
bad;stomach;  1
bad;tip;  1
bad;tonic;  1
bad;urge;  1
bad;waiters;  1
bad;whilst;  1
bad;wine;  1
bad;worth;  1
bad;wow;  1
badly;dressed;  1
badly;executed;  1
badly;organised;  1
badly;planned;  1
badly;prepared;  1
badly;run;  1
badly;service;  1
badly;sizzling;  1
badly;strung;  1
badly;trained;  1
ban;incident;  1
banned;kids;  1
banned;shark's;  1
bargain;basement;  1
bargain;compared;  1
bargain;food;  1
bargain;highly;  1
bargain;internationally;  1
bargain;note;  1
bargain;palace;  1
bargain;presentation;  1
bargain;prices;  1
barrier;prevented;  1
barrier;restaurant;  1
beaten;located;  1
beaten;trail;  1
beautiful;2;  1
beautiful;360;  1
beautiful;老板;  1
beautiful;appearance;  1
beautiful;art;  1
beautiful;artefacts;  1
beautiful;artwork;  1
beautiful;association;  1
beautiful;bamboo;  1
beautiful;bar;  1
beautiful;barbecue;  1
beautiful;barbecued;  1
beautiful;bird's;  1
beautiful;birthday;  1
beautiful;booking;  1
beautiful;bottle;  1
beautiful;building;  1
beautiful;caligraphy;  1
beautiful;catwalk;  1
beautiful;ceramic;  1
beautiful;chef;  1
beautiful;cheungsam;  1
beautiful;chinaware;  1
beautiful;church;  1
beautiful;city;  1
beautiful;complement;  1
beautiful;cost;  1
beautiful;courtyard;  1
beautiful;crabs;  1
beautiful;crockery;  1
beautiful;crossing;  1
beautiful;crowd;  1
beautiful;custard;  1
beautiful;decorations;  1
beautiful;dégustation;  1
beautiful;dinning;  1
beautiful;dish;  1
beautiful;dishes;  1
beautiful;dragon;  1
beautiful;dumplings;  1
beautiful;easy;  1
beautiful;entrance;  1
beautiful;experience;  1
beautiful;experiences;  1
beautiful;explanations;  1
beautiful;facility;  1
beautiful;feels;  1
beautiful;fit;  1
beautiful;flavoured;  1
beautiful;flower;  1
beautiful;french;  1
beautiful;freshly;  1
beautiful;fusion;  1
beautiful;garden;  1
beautiful;gardens;  1
beautiful;gift;  1
beautiful;golden;  1
beautiful;gorgeous;  1
beautiful;green;  1
beautiful;half;  1
beautiful;hk;  1
beautiful;hotels;  1
beautiful;identical;  1
beautiful;ingredients;  1
beautiful;inside;  1
beautiful;intimate;  1
beautiful;italian;  1
beautiful;ladies;  1
beautiful;lighting;  1
beautiful;lights;  1
beautiful;linens;  1
beautiful;linking;  1
beautiful;lit;  1
beautiful;lobby;  1
beautiful;location.perfect;  1
beautiful;luxurious;  1
beautiful;macau;  1
beautiful;main;  1
beautiful;mango;  1
beautiful;meals;  1
beautiful;memory;  1
beautiful;music;  1
beautiful;neons;  1
beautiful;overlooking;  1
beautiful;pastry;  1
beautiful;peaceful;  1
beautiful;perch;  1
beautiful;plate;  1
beautiful;price;  1
beautiful;private;  1
beautiful;quality;  1
beautiful;rapping;  1
beautiful;renaissance;  1
beautiful;restaurants;  1
beautiful;restoration;  1
beautiful;reviews;  1
beautiful;ritz;  1
beautiful;rooftop;  1
beautiful;seafood;  1
beautiful;seascape;  1
beautiful;semi;  1
beautiful;settings;  1
beautiful;skyline;  1
beautiful;smile;  1
beautiful;south;  1
beautiful;soya;  1
beautiful;spots;  1
beautiful;square;  1
beautiful;start;  1
beautiful;subterranean;  1
beautiful;subtle;  1
beautiful;succulent;  1
beautiful;sweet;  1
beautiful;tables;  1
beautiful;tableware;  1
beautiful;tasty;  1
beautiful;temple;  1
beautiful;terrasse;  1
beautiful;traditional;  1
beautiful;translucent;  1
beautiful;triditonal;  1
beautiful;trimmed;  1
beautiful;unblocked;  1
beautiful;understated;  1
beautiful;upmarket;  1
beautiful;venetian;  1
beautiful;voice;  1
beautiful;waiters;  1
beautiful;walls;  1
beautiful;weekend;  1
beautiful;wife;  1
beautiful;wines;  1
beautiful;woodwork;  1
beautiful;worth;  1
beautifully;arrayed;  1
beautifully;bronzed;  1
beautifully;carved;  1
beautifully;creamy;  1
beautifully;crispy;  1
beautifully;decked;  1
beautifully;displayed;  1
beautifully;embraced;  1
beautifully;embroidered;  1
beautifully;fell;  1
beautifully;finally;  1
beautifully;highly;  1
beautifully;including;  1
beautifully;light;  1
beautifully;lit;  1
beautifully;marinated;  1
beautifully;neat;  1
beautifully;paced;  1
beautifully;set;  1
beautifully;staff;  1
beautifully;stitched;  1
beautifully;tender;  1
beloved;girlfriend;  1
beloved;peninsula;  1
beloved;pppl;  1
best;50;  1
best;7;  1
best;午;  1
best;小籠包;  1
best;abalone;  1
best;accompanying;  1
best;advice;  1
best;african;  1
best;amazing;  1
best;angle;  1
best;appreciated;  1
best;armed;  1
best;aroma;  1
best;arriving;  1
best;asina;  1
best;atmosphere;  1
best;attentive;  1
best;attribute;  1
best;avoided;  1
best;baked;  1
best;bar;  1
best;barbecue;  1
best;beats;  1
best;beef;  1
best;behaviour;  1
best;bernard;  1
best;bits;  1
best;blend;  1
best;bok;  1
best;breakfast;  1
best;budget;  1
best;buffet;  1
best;buildings;  1
best;cake;  1
best;cantomese;  1
best;cantoneese;  1
best;casino;  1
best;characteristics;  1
best;charsiu;  1
best;chee;  1
best;chef;  1
best;chilli;  1
best;chinnese;  1
best;cities;  1
best;clients;  1
best;collection;  1
best;comment;  1
best;compared;  1
best;compilation;  1
best;compliment;  1
best;consumed;  1
best;corner;  1
best;courteous;  1
best;cuisine;  1
best;curry;  1
best;custard;  1
best;dan;  1
best;days;  1
best;delicious;  1
best;deserts;  1
best;deserves;  1
best;desserts;  1
best;dimsun;  1
best;din;  1
best;don’t;  1
best;dressed;  1
best;ducks;  1
best;dumplins;  1
best;eaten;  1
best;eatery;  1
best;effort;  1
best;efforts;  1
best;eggs;  1
best;entrance;  1
best;excellent;  1
best;experienced;  1
best;expirience;  1
best;filet;  1
best;finally;  1
best;flavor;  1
best;flavorless;  1
best;flavors;  1
best;foot;  1
best;form;  1
best;freshest;  1
best;friend's;  1
best;friends;  1
best;furnished;  1
best;fusion;  1
best;gab;  1
best;glad;  1
best;glistening;  1
best;global;  1
best;grilled;  1
best;hakau;  1
best;hands;  1
best;har;  1
best;hargow;  1
best;healthy;  1
best;hidden;  1
best;hong;  1
best;hospitable;  1
best;hospitality;  1
best;hotpot;  1
best;hotpots;  1
best;iberico;  1
best;im;  1
best;incredible;  1
best;interior;  1
best;interiors;  1
best;io;  1
best;jelly;  1
best;judge;  1
best;lamb;  1
best;landmark;  1
best;lastly;  1
best;learning;  1
best;left;  1
best;lengthy;  1
best;level;  1
best;locations;  1
best;lotus;  1
best;macanese;  1
best;match;  1
best;meat;  1
best;memorable;  1
best;memories;  1
best;menu;  1
best;modern;  1
best;mushrooms;  1
best;muslim;  1
best;nah;  1
best;nights;  1
best;noodle;  1
best;normal;  1
best;offering;  1
best;offerings;  1
best;options;  1
best;pancake;  1
best;pancakes;  1
best;peaking;  1
best;pecking;  1
best;pekin;  1
best;person;  1
best;pick;  1
best;piece;  1
best;pieces;  1
best;pipped;  1
best;plate;  1
best;pleased;  1
best;plenty;  1
best;po;  1
best;popular;  1
best;prawns;  1
best;presentation;  1
best;private;  1
best;ps;  1
best;quick;  1
best;ratio;  1
best;recently;  1
best;recommends;  1
best;reserved;  1
best;resterant;  1
best;reviews;  1
best;rice;  1
best;rich;  1
best;roast;  1
best;rooftop;  1
best;run;  1
best;savoury;  1
best;seabass;  1
best;selected;  1
best;selection;  1
best;sell;  1
best;selling;  1
best;servers;  1
best;serving;  1
best;setting;  1
best;shower;  1
best;signature;  1
best;single;  1
best;skyline;  1
best;sort;  1
best;soups;  1
best;souvenir;  1
best;spring;  1
best;taiwainese;  1
best;taiwanese;  1
best;tase;  1
best;taste;  1
best;techniques;  1
best;terrace;  1
best;terrific;  1
best;thai;  1
best;they’ve;  1
best;thinking;  1
best;tip;  1
best;tofu;  1
best;tourist;  1
best;travel;  1
best;trust;  1
best;tux;  1
best;type;  1
best;valued;  1
best;values;  1
best;view.more;  1
best;viewing;  1
best;visual;  1
best;waiter;  1
best;waiters;  1
best;waiting;  1
best;walked;  1
best;wan;  1
best;winelist;  1
best;wines;  1
best;winton;  1
best;wishes;  1
best;word;  1
best;words;  1
best;world;  1
best;xaio;  1
best;xia;  1
best;xiaolungpao;  1
best;xlb;  1
best;yumcha;  1
best;추천해용;  1
better;2;  1
better;advise;  1
better;almond;  1
better;alternative;  1
better;amazing;  1
better;attitude;  1
better;balance;  1
better;barbecue;  1
better;bbq;  1
better;bbq'd;  1
better;beware;  1
better;bottle;  1
better;call;  1
better;char;  1
better;choice;  1
better;chose;  1
better;cityscape;  1
better;communicate;  1
better;communication;  1
better;compared;  1
better;customers;  1
better;deal;  1
better;decorated;  1
better;defined;  1
better;desserts;  1
better;din;  1
better;dining;  1
better;dont;  1
better;drink;  1
better;eat;  1
better;eating;  1
better;english;  1
better;enjoy;  1
better;environment;  1
better;eric;  1
better;excellent;  1
better;expect;  1
better;experienced;  1
better;final;  1
better;fine;  1
better;foodoffer;  1
better;formal;  1
better;framing;  1
better;friendly;  1
better;front;  1
better;gauge;  1
