word1;word2;n
perfect;balance; 11
perfect;food; 11
perfect;view; 11
pretty;busy; 11
pretty;expensive; 11
stop;eating; 11
super;clean; 11
super;fresh; 11
super;helpful; 11
super;yummy; 11
wonderful;atmosphere; 11
amazing;flavours; 10
amazing;location; 10
amazing;pork; 10
avoid;disappointment; 10
bad;taste; 10
beautiful;food; 10
beautiful;views; 10
best;char; 10
best;choice; 10
best;quality; 10
creative;dim; 10
excellent;dinner; 10
excellent;reviews; 10
excellent;taste; 10
fabulous;restaurant; 10
fabulous;views; 10
fresh;crab; 10
fresh;delicious; 10
fresh;vegetables; 10
friendly;restaurant; 10
friendly;staffs; 10
good;choices; 10
good;clean; 10
good;option; 10
good;presentation; 10
good;standard; 10
great;care; 10
great;choices; 10
great;start; 10
kind;service; 10
love;spicy; 10
lovely;service; 10
lovely;view; 10
nice;setting; 10
no;real; 10
no;service; 10
no;view; 10
perfect;spot; 10
please;note; 10
poor;quality; 10
shared;table; 10
super;efficient; 10
super;fast; 10
sweet;soup; 10
worth;checking; 10
worth;paying; 10
accept;cash;  9
beautiful;atmosphere;  9
beautiful;dining;  9
best;i’ve;  9
best;ingredients;  9
best;tasting;  9
better;meal;  9
breathtaking;views;  9
easy;walk;  9
elegant;restaurant;  9
elegant;setting;  9
fabulous;meal;  9
fair;prices;  9
fantastic;evening;  9
favorite;restaurants;  9
fine;dinning;  9
free;dessert;  9
friendly;helpful;  9
generous;portion;  9
good;fortune;  9
good;fresh;  9
good;size;  9
good;stuff;  9
good;wines;  9
great;peking;  9
great;presentation;  9
great;suggestions;  9
great;window;  9
great;wines;  9
ha;gao;  9
happy;birthday;  9
happy;hour;  9
huge;fan;  9
interesting;food;  9
leave;hong;  9
love;love;  9
lovely;staff;  9
nice;traditional;  9
no;chance;  9
no;lines;  9
no;reason;  9
no;wine;  9
perfectly;balanced;  9
pleasant;service;  9
pretty;amazing;  9
recommend;people;  9
recommended;restaurant;  9
tender;juicy;  9
top;rated;  9
wonderful;dim;  9
worth;booking;  9
wow;wow;  9
amazing;dishes;  8
amazing;night;  8
awesome;experience;  8
bad;food;  8
best;bbq;  8
better;cantonese;  8
better;chinese;  8
better;views;  8
bright;lights;  8
certain;time;  8
classy;restaurant;  8
clean;service;  8
clear;night;  8
enjoy;eating;  8
excellent;menu;  8
excellent;peking;  8
fabulous;service;  8
fine;cuisine;  8
fine;restaurant;  8
fresh;service;  8
generous;portions;  8
good;advice;  8
good;news;  8
good;portions;  8
good;review;  8
great;art;  8
great;cocktails;  8
great;flavours;  8
great;harbour;  8
great;option;  8
great;recommendation;  8
great;setting;  8
great;venue;  8
ha;gow;  8
helpful;service;  8
huge;restaurant;  8
interesting;decor;  8
like;home;  8
limited;english;  8
negative;reviews;  8
nice;change;  8
nice;dishes;  8
nice;local;  8
nice;presentation;  8
no;atmosphere;  8
no;choice;  8
no;dim;  8
no;issue;  8
no;issues;  8
no;michelin;  8
no;trouble;  8
no;wow;  8
outstanding;meal;  8
perfect;evening;  8
perfect;texture;  8
popular;spot;  8
prepared;fresh;  8
pretty;impressive;  8
recommend;booking;  8
recommend;eating;  8
recommend;hutong;  8
shared;tables;  8
straight;forward;  8
super;busy;  8
top;3;  8
top;5;  8
top;level;  8
wonderful;dishes;  8
wonderful;staff;  8
worth;mentioning;  8
worth;seeking;  8
amazing;decor;  7
amazing;dumplings;  7
amazing;quality;  7
amazing;taste;  7
awesome;view;  7
bad;luck;  7
bad;meal;  7
beautiful;table;  7
best;dinner;  7
best;dumpling;  7
best;hotel;  7
big;queue;  7
big;smile;  7
big;surprise;  7
comfort;food;  7
courteous;staff;  7
creative;dishes;  7
elegant;atmosphere;  7
empty;stomach;  7
excellent;dumplings;  7
excellent;recommendations;  7
excellent;selection;  7
fantastic;dinner;  7
free;wifi;  7
fresh;noodles;  7
fresh;prawns;  7
friendly;efficient;  7
good;combination;  7
good;kaye;  7
good;quick;  7
good;recommendation;  7
good;sized;  7
good;smile;  7
good;spot;  7
good;suggestions;  7
good;vibe;  7
good;worth;  7
great;city;  7
great;english;  7
great;idea;  7
hard;pressed;  7
huge;disappointment;  7
innovative;dishes;  7
interesting;dim;  7
like;dumplings;  7
like;food;  7
like;pork;  7
like;sweet;  7
love;dumplings;  7
lovely;atmosphere;  7
lovely;setting;  7
lovely;surprise;  7
nice;gesture;  7
nice;interior;  7
nice;location;  7
nice;surroundings;  7
nice;variety;  7
no;1;  7
no;apology;  7
no;beer;  7
no;booking;  7
no;expert;  7
no;hesitation;  7
no;msg;  7
no;nonsense;  7
no;pressure;  7
no;question;  7
no;rush;  7
no;smile;  7
no;table;  7
perfect;combination;  7
perfect;english;  7
perfect;setting;  7
perfectly;fine;  7
pleasant;dining;  7
prepared;dim;  7
prepared;food;  7
pretty;cheap;  7
pretty;decent;  7
pretty;easy;  7
pretty;tasty;  7
recommend;highly;  7
save;time;  7
sparkling;water;  7
stunning;food;  7
super;quick;  7
superb;view;  7
tender;meat;  7
top;100;  7
